,0
0,116.97
1,116.88
2,117.11
3,117.28
4,116.55
5,114.98
6,113.55
7,113.51
8,113.2
9,113.22
10,112.88
11,111.54
12,109.86
13,109.99
14,111.24
15,110.52
16,110.74
17,111.68
18,111.26
19,110.64
20,111.54
21,112.53
22,112.97
23,112.51
24,113.45
25,114.68
26,113.9
27,113.84
28,113.65
29,111.76
30,111.84
31,111.28
32,110.75
33,111.46
34,110.95
35,111.55
36,112.96
37,112.47
38,113.15
39,113.14
40,112.8
41,113.66
42,113.43
43,113.06
44,112.48
45,112.58
46,112.86
47,112.12
48,112.58
49,111.32
50,111.11
51,110.53
52,111.45
53,111.1
54,111.1
55,110.35
56,110.2
57,110.48
58,109.71
59,110.03
60,108.91
61,108.3
62,107.19
63,106.98
64,108.16
65,108.38
66,107.0
67,106.85
68,108.4
69,110.2
70,110.21
71,111.07
72,110.84
73,110.57
74,110.1
75,109.77
76,108.75
77,108.96
78,109.88
79,109.58
80,111.64
81,110.24
82,110.71
83,110.8
84,111.52
85,111.86
86,111.78
87,111.73
88,111.44
89,112.22
90,111.89
91,112.88
92,112.94
93,114.53
94,113.92
95,113.45
96,113.84
97,114.39
98,114.75
99,113.77
100,113.2
101,113.63
102,113.83
103,114.0
104,114.02
105,113.22
106,114.35
107,113.79
108,114.86
109,114.7
110,112.98
111,112.09
112,113.13
113,112.71
114,112.86
115,112.87
116,112.24
117,111.85
118,110.27
119,109.81
120,109.62
121,109.27
122,109.65
123,109.1
124,110.04
125,109.99
126,110.45
127,109.75
128,108.83
129,109.96
130,111.81
131,112.78
132,112.06
133,112.15
134,110.96
135,111.83
136,112.82
137,114.3
138,114.2
139,114.36
140,114.25
141,112.67
142,111.92
143,113.83
144,113.83
145,112.96
146,113.39
147,113.21
148,114.82
149,114.37
150,114.63
151,114.9
152,115.27
153,114.64
154,113.78
155,113.1
156,112.97
157,112.59
158,111.03
159,111.0
160,109.55
161,109.46
162,109.65
163,111.06
164,113.07
165,113.04
166,111.79
167,111.2
168,112.58
169,111.12
170,112.58
171,114.5
172,114.96
173,116.38
174,115.99
175,115.69
176,115.48
177,116.16
178,115.02
179,114.94
180,114.87
181,114.39
182,114.59
183,114.88
184,115.23
185,115.66
186,116.17
187,115.13
188,115.65
189,116.07
190,114.85
191,114.48
192,114.45
193,113.18
194,112.85
195,113.78
196,113.97
197,113.48
198,113.48
199,113.37
200,114.68
201,115.87
202,114.43
203,114.8
204,115.1
205,114.2
206,114.23
207,113.78
208,113.5
209,112.56
210,113.22
211,112.39
212,113.38
213,112.93
214,112.55
215,112.44
216,111.23
217,111.28
218,111.18
219,111.16
220,109.7
221,109.62
222,109.73
223,109.66
224,108.9
225,109.72
226,108.5
227,108.16
228,107.6
229,108.14
230,107.93
231,106.73
232,106.74
233,107.57
234,106.85
235,107.6
236,107.16
237,107.33
238,107.6
239,106.45
240,106.37
241,105.99
242,105.59
243,104.21
244,103.78
245,104.72
246,103.84
247,104.93
248,105.46
249,106.36
250,106.33
251,105.15
252,105.18
253,105.61
254,106.4
255,105.84
256,105.76
257,105.99
258,105.3
259,105.4
260,105.18
261,105.04
262,103.63
263,103.58
264,103.35
265,103.54
266,104.86
267,105.04
268,104.26
269,105.41
270,104.99
271,105.27
272,104.9
273,104.57
274,104.28
275,104.0
276,104.26
277,103.86
278,103.39
279,102.45
280,102.08
281,99.95
282,100.93
283,99.95
284,100.28
285,101.11
286,102.94
287,102.55
288,103.67
289,104.6
290,103.38
291,103.58
292,102.09
293,102.45
294,102.26
295,101.96
296,103.0
297,103.68
298,102.83
299,103.41
300,103.36
301,102.8
302,101.44
303,100.76
304,100.14
305,100.11
306,99.93
307,99.77
308,100.77
309,100.45
310,100.86
311,100.48
312,99.62
313,99.31
314,99.04
315,99.55
316,98.65
317,98.28
318,98.0
319,96.98
320,96.42
321,98.51
322,98.51
323,99.39
324,99.16
325,99.4
326,99.86
327,100.23
328,98.49
329,99.24
330,99.17
331,98.28
332,99.51
333,98.5
334,99.92
335,100.51
336,100.73
337,100.24
338,99.3
339,100.58
340,101.15
341,100.7
342,98.74
343,99.77
344,98.53
345,97.63
346,97.66
347,98.8
348,97.53
349,98.52
350,98.42
351,99.44
352,100.02
353,101.57
354,101.66
355,101.66
356,99.56
357,100.61
358,100.3
359,99.25
360,98.25
361,99.26
362,99.65
363,99.16
364,97.75
365,97.35
366,96.95
367,95.42
368,95.67
369,95.4
370,93.76
371,93.57
372,92.65
373,92.46
374,92.65
375,94.87
376,95.11
377,94.51
378,94.71
379,94.88
380,93.73
381,92.45
382,93.39
383,93.91
384,93.03
385,93.21
386,91.9
387,91.91
388,92.11
389,91.79
390,90.23
391,91.36
392,92.18
393,91.34
394,89.65
395,89.56
396,88.25
397,89.78
398,88.95
399,87.15
400,87.51
401,87.03
402,88.19
403,88.05
404,88.22
405,87.7
406,88.12
407,86.04
408,84.74
409,86.71
410,87.15
411,87.08
412,87.52
413,86.69
414,89.67
415,88.15
416,87.96
417,87.29
418,86.78
419,84.13
420,83.86
421,81.06
422,80.52
423,81.32
424,83.32
425,82.75
426,83.45
427,82.75
428,84.09
429,84.9
430,84.34
431,83.24
432,84.47
433,83.8
434,85.18
435,84.33
436,85.18
437,85.63
438,84.15
439,82.35
440,82.1
441,83.43
442,84.01
443,83.42
444,84.45
445,84.85
446,85.38
447,86.23
448,86.06
449,84.43
450,86.48
451,85.83
452,85.2
453,86.38
454,88.71
455,88.17
456,89.25
457,90.66
458,92.02
459,92.4
460,93.33
461,93.03
462,93.06
463,92.81
464,91.39
465,92.73
466,92.96
467,91.35
468,91.07
469,88.23
470,88.11
471,87.38
472,89.39
473,89.35
474,90.02
475,89.99
