,0
0,311.79
1,309.55
2,309.1
3,309.0
4,308.35
5,308.94
6,308.18
7,307.1
8,307.03
9,307.37
10,306.14
11,303.33
12,304.14
13,303.21
14,303.3
15,301.6
16,300.37
17,299.88
18,299.01
19,299.99
20,297.97
21,299.28
22,298.4
23,298.88
24,295.95
25,296.28
26,293.24
27,291.27
28,288.53
29,293.08
30,294.35
31,290.42
32,288.06
33,293.24
34,296.77
35,295.4
36,297.0
37,297.62
38,295.87
39,298.21
40,298.28
41,301.08
42,301.1
43,300.92
44,300.16
45,301.09
46,301.29
47,300.25
48,298.13
49,298.2
50,298.05
51,297.82
52,294.04
53,290.74
54,292.45
55,292.58
56,288.89
57,286.87
58,288.0
59,284.85
60,292.36
61,292.45
62,290.09
63,292.33
64,288.85
65,284.65
66,283.9
67,292.55
68,288.07
69,291.62
70,293.62
71,287.97
72,287.8
73,283.82
74,292.62
75,294.84
76,297.43
77,300.72
78,301.46
79,302.01
80,300.0
81,301.44
82,300.03
83,297.9
84,297.17
85,298.83
86,297.74
87,299.78
88,300.75
89,300.65
90,299.31
91,298.61
92,297.19
93,296.82
94,298.46
95,298.8
96,296.43
97,295.66
98,293.0
99,291.5
100,290.47
101,290.76
102,293.64
103,294.0
104,295.86
105,293.06
106,292.4
107,289.37
108,289.26
109,289.58
110,288.39
111,288.9
112,288.97
113,287.65
114,284.8
115,282.96
116,280.53
117,274.57
118,275.27
119,279.03
120,278.27
121,280.15
122,282.78
123,282.14
124,285.63
125,286.51
126,283.95
127,285.84
128,287.7
129,285.06
130,283.4
131,280.86
132,288.1
133,286.66
134,287.53
135,287.93
136,292.82
137,294.03
138,291.18
139,291.81
140,294.02
141,293.87
142,293.41
143,292.05
144,292.23
145,292.88
146,290.27
147,290.02
148,289.45
149,290.16
150,289.97
151,290.16
152,288.21
153,288.29
154,287.31
155,288.79
156,288.57
157,287.18
158,286.42
159,285.97
160,285.83
161,282.48
162,280.71
163,279.65
164,281.12
165,279.04
166,279.25
167,284.73
168,281.55
169,282.4
170,282.33
171,281.31
172,281.16
173,281.34
174,279.49
175,278.44
176,274.46
177,275.01
178,277.33
179,279.02
180,279.4
181,280.42
182,278.68
183,279.2
184,279.32
185,279.52
186,279.14
187,277.42
188,278.41
189,277.85
190,277.37
191,274.38
192,274.99
193,274.1
194,270.62
195,270.47
196,270.14
197,272.74
198,273.1
199,271.96
200,270.06
201,269.93
202,267.58
203,263.41
204,263.76
205,265.78
206,263.55
207,263.41
208,262.86
209,266.46
210,262.96
211,260.98
212,260.35
213,257.4
214,258.98
215,258.88
216,257.97
217,256.77
218,254.38
219,252.39
220,244.21
221,250.18
222,249.92
223,247.75
224,248.07
225,246.18
226,234.34
227,240.7
228,247.17
229,251.26
230,255.08
231,255.36
232,260.47
233,265.37
234,265.46
235,264.13
236,264.07
237,263.57
238,269.84
239,270.25
240,279.3
241,275.65
242,273.98
243,274.58
244,268.4
245,267.5
246,263.25
247,265.02
248,264.12
249,269.1
250,273.73
251,273.02
252,270.2
253,272.06
254,272.57
255,277.76
256,280.5
257,281.01
258,275.12
259,273.39
260,271.89
261,273.51
262,270.63
263,267.77
264,263.86
265,265.33
266,270.08
267,265.32
268,273.61
269,275.01
270,276.25
271,276.4
272,280.45
273,280.4
274,274.4
275,275.95
276,272.17
277,278.3
278,287.4
279,287.82
280,287.82
281,289.44
282,291.72
283,291.56
284,291.73
285,290.72
286,290.69
287,289.88
288,290.75
289,291.02
290,291.99
291,293.58
292,291.22
293,290.91
294,289.34
295,290.88
296,290.83
297,289.12
298,289.05
299,288.1
300,287.6
301,288.16
302,289.03
303,289.81
304,290.31
305,290.3
306,291.48
307,289.92
308,289.78
309,287.51
310,285.79
311,286.17
