,0
0,204.19
1,203.96
2,204.18
3,203.98
4,203.34
5,203.15
6,202.34
7,201.07
8,201.77
9,201.66
10,199.38
11,198.11
12,198.41
13,196.16
14,196.43
15,194.93
16,192.69
17,194.07
18,190.3
19,188.47
20,186.27
21,186.43
22,187.7
23,187.41
24,190.54
25,192.74
26,196.64
27,193.26
28,196.29
29,196.52
30,194.38
31,194.35
32,197.02
33,197.54
34,197.9
35,196.34
36,199.56
37,198.01
38,199.15
39,200.7
40,201.82
41,200.75
42,200.48
43,198.98
44,199.13
45,200.3
46,200.07
47,199.32
48,200.59
49,201.11
50,200.21
51,200.5
52,200.61
53,200.71
54,200.14
55,200.25
56,200.33
57,200.2
58,199.19
59,199.5
60,198.92
61,198.39
62,197.36
63,195.72
64,195.76
65,194.84
66,193.53
67,193.8
68,193.24
69,191.03
70,192.07
71,192.01
72,193.89
73,192.5
74,193.09
75,196.98
76,196.95
77,197.8
78,197.72
79,198.65
80,198.64
81,198.2
82,197.34
83,197.71
84,195.71
85,197.96
86,197.23
87,197.6
88,196.61
89,196.34
90,197.12
91,196.24
92,197.51
93,198.2
94,197.23
95,197.03
96,195.72
97,195.82
98,195.44
99,195.58
100,194.7
101,195.88
102,195.94
103,196.48
104,196.26
105,194.83
106,194.29
107,194.13
108,193.54
109,194.92
110,195.6
111,195.58
112,195.38
113,194.45
114,193.19
115,192.8
116,192.9
117,192.68
118,192.37
119,191.38
120,191.52
121,190.35
122,189.59
123,189.13
124,187.55
125,188.74
126,188.05
127,187.4
128,189.06
129,189.96
130,189.79
131,187.96
132,187.68
133,187.88
134,186.78
135,188.42
136,188.06
137,188.33
138,188.31
139,187.75
140,186.88
141,186.29
142,187.83
143,187.45
144,187.89
145,187.04
146,186.39
147,186.13
148,184.2
149,182.94
150,181.51
151,183.16
152,187.09
153,185.1
154,184.34
155,186.4
156,188.63
157,188.88
158,188.25
159,187.01
160,185.49
161,184.58
162,184.97
163,186.31
164,185.43
165,186.2
166,187.75
167,186.66
168,187.66
169,186.33
170,184.66
171,185.18
172,187.28
173,187.23
174,188.16
175,188.26
176,188.18
177,187.75
178,187.58
179,184.98
180,186.29
181,185.82
182,184.85
183,184.84
184,184.91
185,183.89
186,184.1
187,183.02
188,184.24
189,184.02
190,183.01
191,182.07
192,181.98
193,180.01
194,179.68
195,177.48
196,175.17
197,175.39
198,174.17
199,178.18
200,179.23
201,177.35
202,179.07
203,178.01
204,178.89
205,182.79
206,184.3
207,184.18
208,183.64
209,184.42
210,184.66
211,183.67
212,181.69
213,184.14
214,183.64
215,183.52
216,183.48
217,182.36
218,182.89
219,182.92
220,184.69
221,183.82
222,183.85
223,183.86
224,182.93
225,182.53
226,181.56
227,181.49
228,181.7
229,178.65
230,179.22
231,178.11
232,178.13
233,178.72
234,180.75
235,181.4
236,180.94
237,178.94
238,179.73
239,179.75
240,180.53
241,181.0
242,181.12
243,180.68
244,180.63
245,180.81
246,179.91
247,178.47
248,179.03
249,179.42
250,180.05
251,179.27
252,178.38
253,176.96
254,177.32
255,177.29
256,174.93
257,177.17
258,176.27
259,176.83
260,176.21
261,175.79
262,176.29
263,177.17
264,176.23
265,175.95
266,175.15
267,174.57
268,175.41
269,174.4
270,174.39
271,173.22
272,172.07
273,169.7
274,170.94
275,170.26
276,169.17
277,165.6
278,165.48
279,167.43
280,168.89
281,167.62
282,169.18
283,169.34
284,168.01
285,168.91
286,169.69
287,169.04
288,169.53
289,169.93
290,170.72
291,172.76
292,173.05
293,171.07
294,170.31
295,169.33
296,168.95
297,169.4
298,168.87
299,167.63
300,166.04
301,165.96
302,165.75
303,164.39
304,163.65
305,164.17
306,163.91
307,163.33
308,166.0
309,166.62
310,166.06
311,164.56
312,165.58
313,164.77
314,165.83
315,166.38
316,168.74
317,169.61
318,169.11
319,169.31
320,169.8
321,169.18
322,169.73
323,170.7
324,170.95
325,170.66
326,168.71
327,168.59
328,168.59
329,169.11
330,168.93
331,168.52
332,169.14
333,169.5
334,169.17
335,168.87
336,167.95
337,167.52
338,168.15
339,167.51
340,167.44
341,165.19
342,165.13
343,163.95
344,163.02
345,161.28
346,161.21
347,161.36
348,160.42
349,161.08
350,160.14
351,158.57
352,157.06
353,159.07
354,159.4
355,163.45
356,165.74
357,164.44
358,163.18
359,164.21
360,161.75
361,163.1
362,164.8
363,164.8
364,162.73
365,161.27
366,163.56
367,164.35
368,163.45
369,165.83
370,165.22
371,166.3
372,165.31
373,165.45
374,165.93
375,167.17
376,166.93
377,166.94
378,165.34
379,166.12
380,165.23
381,163.54
382,163.41
383,162.88
384,163.34
385,162.6
386,161.78
387,161.37
388,159.75
389,158.28
390,159.68
391,159.3
392,158.24
393,158.52
394,157.88
395,157.78
396,156.17
397,155.48
398,154.14
399,155.11
400,157.41
401,155.12
402,158.8
403,159.19
404,158.67
405,156.75
406,156.21
407,155.16
408,155.86
409,155.23
410,156.82
411,156.05
412,156.67
413,156.19
414,156.19
415,154.95
416,155.6
417,154.36
418,155.69
419,154.61
420,154.97
421,155.83
422,156.73
423,155.9
424,155.68
425,156.03
426,155.44
427,154.78
428,154.5
429,154.29
430,152.92
431,152.11
432,151.61
433,151.91
434,150.02
435,149.0
436,151.89
437,150.42
438,151.34
439,153.25
440,152.11
441,152.29
442,152.15
443,152.02
444,151.77
445,151.8
446,150.96
447,151.16
448,151.05
449,149.54
450,151.24
451,149.7
452,150.07
453,150.66
454,150.07
455,150.25
456,149.41
457,149.37
458,149.13
459,148.33
460,148.0
461,147.05
462,147.07
463,146.97
464,147.07
465,147.08
466,145.92
467,145.55
468,145.97
469,146.37
470,145.73
471,146.06
472,142.41
473,140.03
474,141.56
475,141.75
476,142.35
477,142.79
478,145.12
479,144.29
480,145.37
481,143.77
482,142.1
483,142.63
484,143.51
485,143.44
486,142.47
487,142.41
488,141.98
489,141.5
490,141.25
491,141.45
492,142.15
493,142.12
494,141.46
495,140.33
496,141.05
497,141.35
498,139.45
499,139.19
500,139.13
501,136.37
502,135.7
503,135.93
504,137.79
505,138.27
506,138.16
507,138.04
508,139.72
509,142.96
510,141.85
511,141.56
512,142.83
513,141.35
514,141.35
515,141.43
516,141.02
517,141.42
518,143.41
519,143.39
520,145.82
521,146.2
