mask01,mask02,mask03,mask04,mask05,mask06,mask07,mask08,mask09,mask10,mask11
-0.009592783815818517,-0.032258222591536545,-0.003076793393979038,-0.04426237099879671,-0.011940325515851336,0.0056309325933066035,0.023880396384274638,-0.003636968046970779,0.003003642,0.0060241239629805765,-0.026493872112659522
0.0046009993568496554,-0.006666429155818943,-0.005555517932136267,-0.01715263274685863,-0.003356887752541393,0.0022394796424740626,-0.014970835230621038,-0.0028207029522757665,-0.023748376,-0.005988051200253586,-0.0023161995400443613
0.0030535355746383885,-0.010067344723036942,0.024208467363469044,0.027923059894305213,-0.005052247431580614,0.013407655828578724,-0.054702275598995875,-0.0028286818234461997,0.009594486,-0.0060241239629806875,-0.0040625684582195065
-0.0060881463362384425,-0.03163811831454755,-0.009697141293824041,0.011884619208167635,-0.00947847856327344,-0.007717294001401864,-0.08949430467587804,0.0016686150928919563,0.008935268,-0.010101000796768678,-0.016899940307550265
0.003062551719400952,0.009918081932501321,-0.005507854725980366,-0.03691235929482006,0.004784679558963889,-0.027778191499264637,0.018365279915294686,-0.0036643563710289095,-0.002372084,-0.006122477119593461,-0.0005926279988524019
0.01679390219288357,-0.011553978571746226,0.010461425276362402,-0.0435541623100516,0.007482851056183737,0.03314323903665928,-0.039308046272075625,-0.003511543427086039,0.003965247,0.006160192758811522,-0.02846977495741887
-0.012012078190669184,-0.006428830444091704,-0.014616161243985348,0.02003631799534622,-0.014517242252644613,0.03207947422834789,-0.010544552742241753,0.01342277117685775,0.000152315,-0.018367262173494603,-0.020756927260794256
-0.03495435252546131,0.029411522535244927,-0.03584685747765448,-0.035714020922766654,-0.01575872900738906,0.07073963398325578,0.02024824398538172,0.008940705619445488,-0.0215026,0.0020789827298366426,-0.02369081420449981
0.007874059209475481,-0.016571325786048363,-0.0198719149719484,0.018518124632628252,-0.00034821103158844124,0.0040038940941529155,0.07409826391978536,0.003445837009727004,-0.009481705,-0.00414925305877234,0.0019156286960637647
0.03125017114003903,-0.012202078879703482,-0.0013078502923122848,0.021818417587087913,0.010793918230858957,0.005981979780367741,0.06003305530288383,0.0032705306500695475,0.008430963,-0.004166800157062389,0.004461502640797699
-0.00909104034539665,0.0,-0.024230612552385344,-0.021352538975182855,-0.01929035464196971,-0.011892935586298004,0.03892373029502205,-0.020048802016644163,0.00253873,0.01046032742168057,0.0038070402092011957
-0.012232398744763784,0.018235094186074274,0.004698360992309025,0.014545729309870747,-0.011591206341917681,0.038114653192621084,-0.025997410568526003,-0.008316707432659776,-0.015975782,0.016563077881076582,0.00884958859656182
0.017027871388489713,-0.0063546459021828205,0.0046761050179757735,0.02867395177249099,0.02061120637930358,0.014492252531946637,-0.08256884463126302,-0.007212230173307743,0.01269571,0.012219845789344985,-0.008145359046855205
-0.015220532552344346,0.005813982097023107,-0.01928215786912213,0.05400679351399029,0.011490400220506958,0.019047729775465205,-0.05066667848170814,-0.0027032225211351957,-0.009504385,-0.004024107951178579,-0.013897697784590934
-0.01545620094127742,-0.008670656731145199,-0.0067796634648540355,0.003305638403180433,-0.02478472931143172,-0.010367521987976414,0.017907410937123336,0.019481452543155475,-0.011120827,0.010101168273113803,-0.00192176476085959
